Rk,Season,Team,W,G,W,L,W/L%,Miscellaneous Pace,Miscellaneous ORtg,Miscellaneous DRtg,Team Shooting eFG%,Team Shooting TS%,Team TOV%,Team ORB%,Team DRB%,Team FTr,Opponent Shooting eFG%,Opponent Shooting TS%,Opponent TOV%,Opponent ORB%,Opponent DRB%,Opponent FTr
118,2023-24,George Mason,20,32,20,12,.625,65.0,109.2,101.3,.523,.562,15.7,31.7,72.5,.370,.477,.513,14.3,27.5,68.3,.312
119,2023-24,Georgia,20,37,20,17,.541,70.6,105.4,105.4,.498,.536,14.0,27.1,69.5,.366,.498,.530,14.0,30.5,72.9,.293
120,2023-24,Hawaii,20,34,20,14,.588,67.4,106.1,100.8,.530,.565,16.3,26.4,75.2,.383,.484,.522,14.2,24.8,73.6,.330
121,2023-24,Hofstra,20,33,20,13,.606,66.6,111.0,102.4,.557,.579,14.0,23.6,70.7,.215,.486,.524,15.5,29.3,76.4,.286
122,2023-24,Lipscomb,20,32,20,12,.625,71.2,115.3,107.5,.570,.597,12.7,23.6,71.7,.274,.526,.548,14.2,28.3,76.4,.228
123,2023-24,Massachusetts,20,31,20,11,.645,69.2,111.5,101.8,.506,.539,13.4,36.6,69.9,.358,.485,.528,16.4,30.1,63.4,.386
124,2023-24,Michigan State,20,35,20,15,.571,66.4,109.4,99.1,.516,.544,13.0,29.8,71.5,.293,.481,.517,16.2,28.5,70.2,.324
125,2023-24,Milwaukee,20,35,20,15,.571,70.9,110.2,109.0,.509,.545,14.7,35.9,68.3,.341,.504,.542,13.7,31.7,64.1,.330
126,2023-24,Ole Miss,20,32,20,12,.625,68.6,109.3,107.8,.511,.548,13.6,30.3,63.8,.351,.502,.535,15.3,36.2,69.7,.323
127,2023-24,Nicholls State,20,34,20,14,.588,67.8,105.5,105.6,.519,.557,16.6,27.7,68.4,.383,.491,.525,14.0,31.6,72.3,.385
128,2023-24,Ohio,20,33,20,13,.606,68.3,111.9,101.3,.527,.559,12.3,28.8,68.6,.314,.487,.522,17.0,31.4,71.2,.341
129,2023-24,Oklahoma,20,32,20,12,.625,68.4,109.4,99.8,.531,.569,15.8,30.1,73.8,.377,.475,.517,14.6,26.2,69.9,.312
130,2023-24,Santa Clara,20,33,20,13,.606,69.8,109.8,103.1,.528,.557,15.6,34.6,74.1,.313,.483,.519,12.8,25.9,65.4,.334
131,2023-24,SMU,20,33,20,13,.606,68.6,111.5,99.9,.507,.533,13.5,38.5,68.8,.290,.471,.510,16.1,31.2,61.5,.337
132,2023-24,St. Bonaventure,20,33,20,13,.606,66.0,110.0,102.8,.523,.562,14.2,29.7,71.6,.322,.512,.542,16.9,28.4,70.3,.339
133,2023-24,St. John's (NY),20,33,20,13,.606,69.6,113.3,103.4,.509,.538,13.0,38.6,69.6,.273,.496,.536,16.1,30.4,61.4,.344
134,2023-24,St. Thomas,20,33,20,13,.606,63.9,113.4,101.0,.553,.579,12.7,24.9,75.0,.289,.512,.542,16.7,25.0,75.1,.288
135,2023-24,Stony Brook,20,35,20,15,.571,67.5,106.6,104.9,.504,.538,13.0,26.9,71.1,.292,.496,.522,13.2,28.9,73.1,.270
136,2023-24,Syracuse,20,32,20,12,.625,72.1,105.9,104.9,.518,.551,14.1,24.7,68.6,.331,.521,.548,17.3,31.4,75.3,.260
137,2023-24,UT Arlington,20,34,20,14,.588,71.9,106.5,101.5,.521,.560,18.4,34.0,70.9,.377,.483,.532,16.6,29.1,66.0,.411
138,2023-24,Toledo,20,32,20,12,.625,70.2,113.0,107.5,.531,.569,13.2,29.3,71.3,.353,.543,.567,16.3,28.7,70.7,.262
139,2023-24,Towson,20,34,20,14,.588,63.2,105.6,99.6,.479,.509,15.5,39.9,73.1,.347,.481,.513,15.1,26.9,60.1,.315
140,2023-24,Troy,20,32,20,12,.625,71.2,110.0,97.7,.511,.552,16.0,36.0,70.4,.386,.487,.526,18.7,29.6,64.0,.390
141,2023-24,Weber State,20,32,20,12,.625,66.8,112.0,100.3,.539,.575,13.1,23.8,76.8,.354,.522,.548,17.0,23.2,76.2,.278
